code_product,name,expiration_date,price,description
P00001,Metformina,2026-04-30,8000,Medicamento para la diabetes tipo 2.
P00002,Metformina,2028-01-25,4500,Medicamento para la diabetes tipo 2.
P00003,Omeprazol,2028-01-24,10000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00004,Dolex,2026-01-18,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00005,Amoxicilina,2026-11-07,4500,Antibiótico usado para tratar infecciones bacterianas.
P00006,Simvastatina,2026-06-29,4000,Reduce el colesterol y triglicéridos.
P00007,Simvastatina,2027-08-14,50000,Reduce el colesterol y triglicéridos.
P00008,Losartán,2026-04-30,3500,Usado para tratar la presión arterial alta.
P00009,Simvastatina,2027-03-19,8000,Reduce el colesterol y triglicéridos.
P00010,Dolex,2026-01-18,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00011,Salbutamol,2026-07-14,25000,Broncodilatador usado para tratar el asma.
P00012,Acetaminofén,2027-12-12,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00013,Amoxicilina,2026-04-29,45000,Antibiótico usado para tratar infecciones bacterianas.
P00014,Simvastatina,2026-06-13,30000,Reduce el colesterol y triglicéridos.
P00015,Dolex,2028-02-25,30000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00016,Omeprazol,2027-03-03,4500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00017,Acetaminofén,2028-04-30,20000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00018,Omeprazol,2027-07-31,8000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00019,Ibuprofeno,2027-04-12,2500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00020,Loratadina,2026-05-09,15000,Antihistamínico para tratar alergias.
P00021,Salbutamol,2025-07-04,45000,Broncodilatador usado para tratar el asma.
P00022,Metformina,2027-02-07,35000,Medicamento para la diabetes tipo 2.
P00023,Losartán,2027-08-08,18000,Usado para tratar la presión arterial alta.
P00024,Simvastatina,2028-04-21,4500,Reduce el colesterol y triglicéridos.
P00025,Losartán,2027-06-19,50000,Usado para tratar la presión arterial alta.
P00026,Losartán,2025-09-19,8000,Usado para tratar la presión arterial alta.
P00027,Metformina,2027-01-30,6000,Medicamento para la diabetes tipo 2.
P00028,Omeprazol,2027-10-17,10000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00029,Loratadina,2028-02-29,50000,Antihistamínico para tratar alergias.
P00030,Omeprazol,2026-02-16,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00031,Acetaminofén,2027-10-14,30000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00032,Acetaminofén,2028-03-27,30000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00033,Metformina,2027-09-24,5000,Medicamento para la diabetes tipo 2.
P00034,Simvastatina,2026-03-21,18000,Reduce el colesterol y triglicéridos.
P00035,Loratadina,2028-04-19,12000,Antihistamínico para tratar alergias.
P00036,Salbutamol,2028-05-14,50000,Broncodilatador usado para tratar el asma.
P00037,Ibuprofeno,2026-08-06,35000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00038,Ibuprofeno,2027-01-27,18000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00039,Omeprazol,2026-12-21,35000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00040,Dolex,2026-11-05,20000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00041,Acetaminofén,2026-06-10,35000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00042,Acetaminofén,2025-06-30,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00043,Salbutamol,2026-12-11,18000,Broncodilatador usado para tratar el asma.
P00044,Amoxicilina,2025-11-29,7000,Antibiótico usado para tratar infecciones bacterianas.
P00045,Acetaminofén,2026-09-16,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00046,Metformina,2025-06-27,45000,Medicamento para la diabetes tipo 2.
P00047,Dolex,2027-02-03,30000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00048,Amoxicilina,2026-04-27,4000,Antibiótico usado para tratar infecciones bacterianas.
P00049,Ibuprofeno,2026-10-09,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00050,Dolex,2027-01-25,30000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00051,Salbutamol,2026-03-01,3500,Broncodilatador usado para tratar el asma.
P00052,Amoxicilina,2027-10-24,4000,Antibiótico usado para tratar infecciones bacterianas.
P00053,Dolex,2028-02-09,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00054,Amoxicilina,2027-12-03,10000,Antibiótico usado para tratar infecciones bacterianas.
P00055,Amoxicilina,2026-05-26,7000,Antibiótico usado para tratar infecciones bacterianas.
P00056,Dolex,2026-10-05,2500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00057,Ibuprofeno,2028-05-12,35000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00058,Dolex,2027-04-24,2500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00059,Salbutamol,2026-05-01,45000,Broncodilatador usado para tratar el asma.
P00060,Acetaminofén,2028-04-20,40000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00061,Loratadina,2027-10-28,4500,Antihistamínico para tratar alergias.
P00062,Simvastatina,2025-12-23,8000,Reduce el colesterol y triglicéridos.
P00063,Dolex,2025-09-05,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00064,Omeprazol,2026-01-25,40000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00065,Omeprazol,2025-11-10,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00066,Salbutamol,2026-06-26,40000,Broncodilatador usado para tratar el asma.
P00067,Losartán,2026-02-11,40000,Usado para tratar la presión arterial alta.
P00068,Dolex,2027-06-01,45000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00069,Acetaminofén,2026-09-17,45000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00070,Simvastatina,2025-06-26,5000,Reduce el colesterol y triglicéridos.
P00071,Ibuprofeno,2027-12-12,25000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00072,Ibuprofeno,2026-03-18,15000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00073,Amoxicilina,2026-02-02,9000,Antibiótico usado para tratar infecciones bacterianas.
P00074,Losartán,2028-05-19,12000,Usado para tratar la presión arterial alta.
P00075,Amoxicilina,2026-06-02,3000,Antibiótico usado para tratar infecciones bacterianas.
P00076,Dolex,2027-05-11,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00077,Acetaminofén,2025-12-03,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00078,Dolex,2025-10-05,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00079,Ibuprofeno,2028-01-03,3500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00080,Loratadina,2026-01-23,20000,Antihistamínico para tratar alergias.
P00081,Omeprazol,2027-02-05,4000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00082,Ibuprofeno,2027-04-06,25000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00083,Losartán,2027-08-31,7000,Usado para tratar la presión arterial alta.
P00084,Simvastatina,2028-03-25,10000,Reduce el colesterol y triglicéridos.
P00085,Salbutamol,2027-01-20,18000,Broncodilatador usado para tratar el asma.
P00086,Acetaminofén,2026-04-29,15000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00087,Acetaminofén,2026-01-01,2500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00088,Salbutamol,2027-01-02,7000,Broncodilatador usado para tratar el asma.
P00089,Amoxicilina,2025-12-20,50000,Antibiótico usado para tratar infecciones bacterianas.
P00090,Metformina,2027-06-10,7000,Medicamento para la diabetes tipo 2.
P00091,Metformina,2027-07-03,9000,Medicamento para la diabetes tipo 2.
P00092,Amoxicilina,2028-01-12,3000,Antibiótico usado para tratar infecciones bacterianas.
P00093,Losartán,2025-11-03,25000,Usado para tratar la presión arterial alta.
P00094,Dolex,2026-03-27,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00095,Ibuprofeno,2027-05-02,2500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00096,Dolex,2027-10-31,50000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00097,Dolex,2026-01-13,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00098,Ibuprofeno,2026-12-29,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00099,Ibuprofeno,2026-02-03,10000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00100,Metformina,2028-05-23,7000,Medicamento para la diabetes tipo 2.
P00101,Ibuprofeno,2025-09-07,25000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00102,Dolex,2025-08-05,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00103,Omeprazol,2025-10-03,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00104,Dolex,2027-02-09,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00105,Losartán,2027-10-31,50000,Usado para tratar la presión arterial alta.
P00106,Simvastatina,2026-06-23,7000,Reduce el colesterol y triglicéridos.
P00107,Amoxicilina,2026-01-15,5000,Antibiótico usado para tratar infecciones bacterianas.
P00108,Acetaminofén,2026-01-08,8000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00109,Salbutamol,2026-10-28,15000,Broncodilatador usado para tratar el asma.
P00110,Dolex,2027-12-13,10000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00111,Acetaminofén,2025-07-04,7000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00112,Amoxicilina,2025-09-18,3000,Antibiótico usado para tratar infecciones bacterianas.
P00113,Omeprazol,2027-12-24,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00114,Acetaminofén,2026-08-25,15000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00115,Metformina,2025-10-23,50000,Medicamento para la diabetes tipo 2.
P00116,Losartán,2025-07-31,3500,Usado para tratar la presión arterial alta.
P00117,Omeprazol,2026-03-24,3000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00118,Acetaminofén,2025-11-23,3000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00119,Dolex,2026-03-24,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00120,Losartán,2027-11-22,15000,Usado para tratar la presión arterial alta.
P00121,Omeprazol,2026-11-03,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00122,Simvastatina,2028-04-03,12000,Reduce el colesterol y triglicéridos.
P00123,Salbutamol,2026-06-09,30000,Broncodilatador usado para tratar el asma.
P00124,Omeprazol,2026-10-23,12000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00125,Acetaminofén,2027-01-16,4500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00126,Acetaminofén,2028-03-18,20000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00127,Simvastatina,2026-11-22,25000,Reduce el colesterol y triglicéridos.
P00128,Losartán,2025-08-20,25000,Usado para tratar la presión arterial alta.
P00129,Metformina,2026-04-25,45000,Medicamento para la diabetes tipo 2.
P00130,Losartán,2028-03-11,45000,Usado para tratar la presión arterial alta.
P00131,Loratadina,2026-04-10,40000,Antihistamínico para tratar alergias.
P00132,Amoxicilina,2026-07-13,3000,Antibiótico usado para tratar infecciones bacterianas.
P00133,Simvastatina,2027-11-07,7000,Reduce el colesterol y triglicéridos.
P00134,Dolex,2027-12-29,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00135,Losartán,2025-08-04,40000,Usado para tratar la presión arterial alta.
P00136,Omeprazol,2027-01-22,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00137,Salbutamol,2027-09-03,3500,Broncodilatador usado para tratar el asma.
P00138,Metformina,2025-07-12,25000,Medicamento para la diabetes tipo 2.
P00139,Metformina,2025-10-27,18000,Medicamento para la diabetes tipo 2.
P00140,Amoxicilina,2028-01-04,8000,Antibiótico usado para tratar infecciones bacterianas.
P00141,Simvastatina,2026-01-27,30000,Reduce el colesterol y triglicéridos.
P00142,Omeprazol,2026-12-30,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00143,Omeprazol,2025-12-30,18000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00144,Losartán,2027-09-24,4000,Usado para tratar la presión arterial alta.
P00145,Amoxicilina,2025-11-19,35000,Antibiótico usado para tratar infecciones bacterianas.
P00146,Metformina,2025-10-11,20000,Medicamento para la diabetes tipo 2.
P00147,Loratadina,2027-10-12,5000,Antihistamínico para tratar alergias.
P00148,Salbutamol,2026-04-10,7000,Broncodilatador usado para tratar el asma.
P00149,Acetaminofén,2026-12-25,45000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00150,Loratadina,2026-09-29,12000,Antihistamínico para tratar alergias.
P00151,Losartán,2026-05-26,7000,Usado para tratar la presión arterial alta.
P00152,Amoxicilina,2026-06-01,9000,Antibiótico usado para tratar infecciones bacterianas.
P00153,Dolex,2026-08-03,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00154,Dolex,2027-10-03,30000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00155,Losartán,2026-01-03,3000,Usado para tratar la presión arterial alta.
P00156,Omeprazol,2028-02-01,25000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00157,Salbutamol,2027-02-24,30000,Broncodilatador usado para tratar el asma.
P00158,Simvastatina,2026-05-03,20000,Reduce el colesterol y triglicéridos.
P00159,Losartán,2025-12-09,10000,Usado para tratar la presión arterial alta.
P00160,Omeprazol,2027-06-12,40000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00161,Losartán,2027-08-05,50000,Usado para tratar la presión arterial alta.
P00162,Amoxicilina,2028-01-27,45000,Antibiótico usado para tratar infecciones bacterianas.
P00163,Metformina,2026-03-11,5000,Medicamento para la diabetes tipo 2.
P00164,Dolex,2028-03-05,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00165,Metformina,2025-07-12,8000,Medicamento para la diabetes tipo 2.
P00166,Amoxicilina,2027-01-05,3000,Antibiótico usado para tratar infecciones bacterianas.
P00167,Acetaminofén,2025-08-14,9000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00168,Dolex,2026-04-19,30000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00169,Acetaminofén,2026-10-27,2500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00170,Dolex,2026-06-11,3000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00171,Ibuprofeno,2026-09-05,30000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00172,Salbutamol,2025-09-08,12000,Broncodilatador usado para tratar el asma.
P00173,Ibuprofeno,2028-01-30,12000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00174,Dolex,2025-09-27,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00175,Acetaminofén,2026-02-11,18000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00176,Metformina,2026-02-05,4000,Medicamento para la diabetes tipo 2.
P00177,Omeprazol,2026-05-05,10000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00178,Acetaminofén,2027-07-13,20000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00179,Amoxicilina,2026-08-01,15000,Antibiótico usado para tratar infecciones bacterianas.
P00180,Simvastatina,2027-09-12,6000,Reduce el colesterol y triglicéridos.
P00181,Losartán,2026-02-03,5000,Usado para tratar la presión arterial alta.
P00182,Omeprazol,2028-02-02,3500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00183,Losartán,2025-11-23,20000,Usado para tratar la presión arterial alta.
P00184,Loratadina,2026-09-30,12000,Antihistamínico para tratar alergias.
P00185,Loratadina,2026-09-11,4000,Antihistamínico para tratar alergias.
P00186,Loratadina,2026-10-11,20000,Antihistamínico para tratar alergias.
P00187,Amoxicilina,2025-11-20,12000,Antibiótico usado para tratar infecciones bacterianas.
P00188,Losartán,2026-09-26,4000,Usado para tratar la presión arterial alta.
P00189,Omeprazol,2027-05-31,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00190,Dolex,2025-08-27,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00191,Metformina,2027-06-29,25000,Medicamento para la diabetes tipo 2.
P00192,Ibuprofeno,2027-12-04,50000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00193,Losartán,2025-07-20,3500,Usado para tratar la presión arterial alta.
P00194,Loratadina,2027-11-12,4500,Antihistamínico para tratar alergias.
P00195,Dolex,2026-05-21,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00196,Acetaminofén,2026-10-01,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00197,Losartán,2027-09-01,7000,Usado para tratar la presión arterial alta.
P00198,Omeprazol,2025-11-22,8000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00199,Salbutamol,2027-10-26,12000,Broncodilatador usado para tratar el asma.
P00200,Metformina,2027-10-21,12000,Medicamento para la diabetes tipo 2.
P00201,Dolex,2027-02-28,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00202,Loratadina,2026-07-08,7000,Antihistamínico para tratar alergias.
P00203,Dolex,2027-04-20,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00204,Acetaminofén,2028-03-15,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00205,Omeprazol,2026-09-09,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00206,Loratadina,2027-04-22,20000,Antihistamínico para tratar alergias.
P00207,Loratadina,2028-05-18,5000,Antihistamínico para tratar alergias.
P00208,Omeprazol,2025-07-08,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00209,Loratadina,2027-08-14,7000,Antihistamínico para tratar alergias.
P00210,Losartán,2026-10-29,4500,Usado para tratar la presión arterial alta.
P00211,Metformina,2028-05-22,3000,Medicamento para la diabetes tipo 2.
P00212,Ibuprofeno,2027-01-02,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00213,Dolex,2027-02-25,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00214,Metformina,2026-08-06,12000,Medicamento para la diabetes tipo 2.
P00215,Dolex,2026-10-20,45000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00216,Salbutamol,2026-10-05,5000,Broncodilatador usado para tratar el asma.
P00217,Loratadina,2026-09-07,4000,Antihistamínico para tratar alergias.
P00218,Omeprazol,2026-09-04,4500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00219,Amoxicilina,2025-11-09,8000,Antibiótico usado para tratar infecciones bacterianas.
P00220,Amoxicilina,2027-10-08,6000,Antibiótico usado para tratar infecciones bacterianas.
P00221,Omeprazol,2027-05-03,35000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00222,Omeprazol,2028-02-04,40000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00223,Amoxicilina,2027-06-14,3500,Antibiótico usado para tratar infecciones bacterianas.
P00224,Omeprazol,2028-03-17,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00225,Omeprazol,2027-11-18,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00226,Dolex,2028-03-19,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00227,Ibuprofeno,2027-06-01,45000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00228,Amoxicilina,2027-09-19,50000,Antibiótico usado para tratar infecciones bacterianas.
P00229,Metformina,2027-07-28,3500,Medicamento para la diabetes tipo 2.
P00230,Loratadina,2026-08-15,3000,Antihistamínico para tratar alergias.
P00231,Metformina,2027-07-13,2500,Medicamento para la diabetes tipo 2.
P00232,Dolex,2028-04-29,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00233,Salbutamol,2025-08-15,7000,Broncodilatador usado para tratar el asma.
P00234,Simvastatina,2026-06-29,20000,Reduce el colesterol y triglicéridos.
P00235,Omeprazol,2025-09-18,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00236,Salbutamol,2025-07-02,8000,Broncodilatador usado para tratar el asma.
P00237,Metformina,2026-11-06,35000,Medicamento para la diabetes tipo 2.
P00238,Acetaminofén,2028-01-09,5000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00239,Loratadina,2026-03-17,8000,Antihistamínico para tratar alergias.
P00240,Metformina,2027-01-10,20000,Medicamento para la diabetes tipo 2.
P00241,Loratadina,2027-05-23,10000,Antihistamínico para tratar alergias.
P00242,Ibuprofeno,2026-09-24,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00243,Dolex,2027-02-17,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00244,Ibuprofeno,2026-05-03,45000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00245,Metformina,2025-11-02,6000,Medicamento para la diabetes tipo 2.
